"source_group","source_path","line","timestamp_utc","token","classification","exclude_reason","confidence","address_candidates","symbol_hints"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2209",,"0x011400A0","new-candidate",,"medium","11400A0;D400A0;15400A0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","644",,"FUN_00A459E0","new-candidate",,"medium","A459E0;6459E0;E459E0","FhUtil;FUN_00a459e0;__addr_FUN_00a459e0;FUN_00A459E0"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","252",,"0x003988A5","new-candidate",,"medium","3988A5;7988A5",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","270",,"0xD2D6E1","new-candidate",,"medium","D2D6E1;92D6E1;112D6E1",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1838",,"0x0012BECC0","new-candidate",,"medium","12BECC0;EBECC0;16BECC0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","150",,"FUN_008E8FB0","new-candidate",,"medium","8E8FB0;4E8FB0;CE8FB0","FUN_008e8fb0;__addr_FUN_008e8fb0;FUN_008E8FB0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","333",,"FUN_00A48C20","new-candidate",,"medium","A48C20;648C20;E48C20","FUN_00a48c20;__addr_FUN_00a48c20;FUN_00A48C20"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","601",,"FUN_008BDDC0","new-candidate",,"medium","8BDDC0;4BDDC0;CBDDC0","FUN_008bddc0;FUN_008BDDC0"
"rg-scan",".workspace/research/FFX_TAS_Python/players/base.py","24",,"0x00F3F7A4","new-candidate",,"medium","F3F7A4;B3F7A4;133F7A4",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","419",,"FUN_008B9E60","new-candidate",,"medium","8B9E60;4B9E60;CB9E60","FUN_008b9e60;FUN_008B9E60"
"discord-compact",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json",,,"0x012E8900","new-candidate",,"medium","12E8900;EE8900;16E8900","Fh"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","785",,"0xC4BB8000","new-candidate",,"medium","C4BB8000;C47B8000;C4FB8000",""
"rg-scan",".workspace/research/FFX_TAS_Python/players/auron.py","83",,"0x00F3D6B4","new-candidate",,"medium","F3D6B4;B3D6B4;133D6B4",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/22 - fahrenheit-dev (1340460420477222923).json_Files/modsettings-69b7de13c24f40c7.cs","126",,"0x60FFFFFF","new-candidate",,"medium","60FFFFFF;60BFFFFF;613FFFFF",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","183",,"FUN_00A57620","new-candidate",,"medium","A57620;657620;E57620","FUN_00a57620;__addr_FUN_00a57620;FUN_00A57620"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2818",,"0xF270B8","new-candidate",,"medium","F270B8;B270B8;13270B8",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1338",,"0x012ACB6B","new-candidate",,"medium","12ACB6B;EACB6B;16ACB6B",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","1036",,"0x656060","new-candidate",,"medium","656060;256060;A56060","FhUtil"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","525",,"0x656160","new-candidate",,"medium","656160;256160;A56160","__addr_FUN_00a56160"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2010",,"0x00D3237B","new-candidate",,"medium","D3237B;93237B;113237B",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","55",,"0x659760","new-candidate",,"medium","659760;259760;A59760","__addr_FUN_00a59760"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/Character7-693244e13fb825c5.cs","56",,"0x3B10D0","new-candidate",,"medium","3B10D0;7B10D0","FUN_007b10d0;FhUtil"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2468",,"0x00D2CAC0","new-candidate",,"medium","D2CAC0;92CAC0;112CAC0",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","2478",,"0x00D2CAD4","new-candidate",,"medium","D2CAD4;92CAD4;112CAD4",""
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","185",,"0xD326E4","new-candidate",,"medium","D326E4;9326E4;11326E4",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3073",,"0x00D37698","new-candidate",,"medium","D37698;937698;1137698",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","51",,"FUN_00A59710","new-candidate",,"medium","A59710;659710;E59710","FUN_00a59710;__addr_FUN_00a59710;FUN_00A59710"
"rg-scan",".workspace/research/FFXSpeedrunMod/FFXCutsceneRemover/Resources/MemoryLocations.cs","202",,"0xD321A0","new-candidate",,"medium","D321A0;9321A0;11321A0",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","461",,"FUN_00A44D30","new-candidate",,"medium","A44D30;644D30;E44D30","FUN_00a44d30;FUN_00A44D30"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","341",,"FUN_00A59860","new-candidate",,"medium","A59860;659860;E59860","FUN_00a59860;FUN_00A59860"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","576",,"FUN_00A5B7B0","new-candidate",,"medium","A5B7B0;65B7B0;E5B7B0","FhMethodHandle;FUN_00a5b7b0;FUN_00A5B7B0"
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","2107",,"FUN_00A57040","new-candidate",,"medium","A57040;657040;E57040","FhUtil;FUN_00a57040;FUN_00A57040"
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1143",,"0x00D2C8A6","new-candidate",,"medium","D2C8A6;92C8A6;112C8A6",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","1775",,"0x85B2CC","new-candidate",,"medium","85B2CC;45B2CC;C5B2CC",""
"rg-scan",".workspace/research/FFX_TAS_Python/memory/main.py","3015",,"0x00D2E0CE","new-candidate",,"medium","D2E0CE;92E0CE;112E0CE",""
"rg-scan",".workspace/Discord/Cid's Salvage Ship (1328407223528853598)/4 - Modding (1328427844929589261)/21 - modding-technical (1328428782863913043).json_Files/module-97d0d9132fc78dc4.cs","580",,"0x65B980","new-candidate",,"medium","65B980;25B980;A5B980","__addr_FUN_00a5b980"
